id,media,media.type,type.label,link

s01,NY Times,1,Newspaper,MISSING_LINK
s02,Washington Post,1,Newspaper,MISSING_LINK
s03,Wall Street Journal,1,Newspaper,www.google.pt
s04,USA Today,1,Newspaper,MISSING_LINK
s05,LA Times,1,Newspaper,MISSING_LINK
s06,New York Post,1,Newspaper,MISSING_LINK
s07,CNN,2,TV,MISSING_LINK
s08,MSNBC,2,TV,MISSING_LINK
s09,FOX News,2,TV,MISSING_LINK
s10,ABC,2,TV,MISSING_LINK
s11,BBC,2,TV,MISSING_LINK
s12,Yahoo News,3,Online,MISSING_LINK
s13,Google News,3,Online,MISSING_LINK
s14,Reuters.com,3,Online,MISSING_LINK
s15,NYTimes.com,3,Online,MISSING_LINK
s16,WashingtonPost.com,3,Online,MISSING_LINK
s17,AOL.com,3,Online,MISSING_LINK
