=============================
           Factory           
=============================

===============
Chão de Fábrica
===============

Internal Code;Description
LP_001;Linha de produção nº1 - criação de moldes;
LP_002;Linha de produção nº2 - criação de placas de ferro;
LP_003;Linha de produção nº3 - criação de rolhas;

Production Line Internal Code;Serial Number;Identification Number;Manufacturer;Model; Operation; Installation Date
LP_001;56AS4D86AS4D;53;ADIRA - METAL FORMING SOLUTIONS SA;GH Versátil;Guillotine;2001/09/03;
LP_001;S897FDS2F1W;95;HELDER RAMIRES, LDA - MAPROC;AE NT;Puncher;2018/09/06;
LP_002;ABD123AHDA23D;10;ADIRA - METAL FORMING SOLUTIONS SA;PM Guimadira;Bender;2005/10/20;
LP_002;98S7DFQW213E;18;ADIRA - METAL FORMING SOLUTIONS SA;LE Efficiency;Laser Cutter;2010/05/17;
LP_003;AKJSDHA7SD623123;106;ADIRA - METAL FORMING SOLUTIONS SA;LF Fiber;Laser Cutter;2000/10/28;

Internal Code;Description
depo_1;Deposit 1;
depo_2;Deposit 2;
depo_3;Deposit 3;
depo_4;Deposit 4;
depo_5;Deposit 5;



========
Produção
========

Fabrication Code;Comercial Code;Brief Description;Full Description;Product Category;Unity
001;Cimento01;Cimento;Cimento indicado para cerâmica de médio formato.;Cimento Cola Flex Médio;KILOGRAMS;
002;Areia02;Areia.;Areia de rio amarela.;Areia Rio;KILOGRAMS;
003;Pasta03;Pasta niveladora;Pasta niveladora para reparar e preparar solos;AXTON PLUS 15MM;TONNE;
004;Placa04;Placa de gesso ;Placa de gesso cartonado FIRE anti-fogo de tipo F;FIBROPLAC FIRE BA13;TONNE;
005;AreiaSuja01;Areia suja;Areia indecente para uso;Areia;TONNE;

Product Fabrication Code;Quantity;Unity;Raw Material Code;Product Code;
001;1000;UN;100;;

Raw Material Code;Description;Raw Material Category ID;Raw Material Category Description;
100;Madeira seca que poderá ser utilizada para a produção de cadeiras;M01;Madeira;
101;Ferro que permite distribuir e reter o calor uniformemente;FE01;Ferro;
102;Ferragens com ângulo regulável para maior flexibilidade;ACO1;Aço;
103;O verso impermeável protege o colchão.;PL01;Plástico;

Raw Material Category Code;Raw Material Category Description;
M01;Madeira;
FE01;Ferro;
ACO1;Aço;
PL01;Plástico;
1000;Lã;

Production Order Identifier;Emission Date;Prevision Date;Product Fabrication Code;Amount (unit);Standard Unit;[Requests];State;Production Line Internal Code
100003365;2020/05/16;2020/05/16;001;52 (UN);UN;[EC2020/00034;EC2020/00035;EC2020/00036];Finished;LP_002

ProductionOrderReport
Consumptions
Production Order Identifier;Amount (unit);Movement Date;Deposit identifier;Product Fabrication Code;Raw Material Code
100003365;195 (UN);2019-03-26 15:14:52.0;depo_3;;100
100003365;292 (UN);2019-03-26 15:16:06.0;depo_3;;100
100003365;103 (UN);2019-03-26 15:16:52.0;depo_3;;100
100003365;86 (UN);2019-03-26 15:17:07.0;depo_3;;100
100003365;119 (UN);2019-03-26 15:17:10.0;depo_3;;100
100003365;120 (UN);2019-03-26 15:17:34.0;depo_3;;100
100003365;98 (UN);2019-03-26 15:17:51.0;depo_3;;100
100003365;60 (UN);2019-03-26 15:18:06.0;depo_3;;100
100003365;136 (UN);2019-03-26 15:18:18.0;depo_3;;100
100003365;64 (UN);2019-03-26 15:18:19.0;depo_3;;100
100003365;145 (UN);2019-03-26 15:18:25.0;depo_3;;100
100003365;64 (UN);2019-03-26 15:18:55.0;depo_3;;100
100003365;80 (UN);2019-03-26 15:19:04.0;depo_3;;100
100003365;79 (UN);2019-03-26 15:19:20.0;depo_3;;100
100003365;50 (UN);2019-03-26 15:19:38.0;depo_3;;100

Chargebacks
Production Order Identifier;Amount (unit);Deposit identifier;Product Fabrication Code;Raw Material Code
100003365;11 (UN);depo_3;005;
100003365;17 (UN);depo_3;005;
100003365;6 (UN);depo_3;005;
100003365;5 (UN);depo_3;005;
100003365;7 (UN);depo_3;005;
100003365;7 (UN);depo_3;005;
100003365;6 (UN);depo_3;005;
100003365;3 (UN);depo_3;005;
100003365;8 (UN);depo_3;005;
100003365;4 (UN);depo_3;005;
100003365;8 (UN);depo_3;005;
100003365;4 (UN);depo_3;005;
100003365;5 (UN);depo_3;005;
100003365;5 (UN);depo_3;005;
100003365;3 (UN);depo_3;005;

Productions
Production Order Identifier;Product Fabrication Code;Amount (unit);Allotment
100003365;001;1001 (UN);DE06191071
100003365;001;1058 (UN);DE06191071
100003365;001;109 (UN);DE06191071
100003365;001;750 (UN);DE06191071
100003365;001;1070 (UN);DE06191071
100003365;001;663 (UN);DE06191071
100003365;001;1326 (UN);DE06191071
100003365;001;76 (UN);DE06191071
100003365;001;1464 (UN);DE06191071
100003365;001;1734 (UN);DE06191072
100003365;001;1388 (UN);DE06191072
100003365;001;1706 (UN);DE06191072
100003365;001;163 (UN);DE06191072
100003365;001;1284 (UN);DE06191072
100003365;001;1402 (UN);DE06191072
100003365;001;1576 (UN);DE06191072
100003365;001;1217 (UN);DE06191072
100003365;001;96 (UN);DE06191072
100003365;001;647 (UN);DE06191072
100003365;001;893 (UN);DE06191073
100003365;001;705 (UN);DE06191073
100003365;001;562 (UN);DE06191073
100003365;001;277 (UN);DE06191073
100003365;001;520 (UN);DE06191073
100003365;001;512 (UN);DE06191073
100003365;001;413 (UN);DE06191073
100003365;001;67 (UN);DE06191073
100003365;001;423 (UN);DE06191081
100003365;001;597 (UN);DE06191081
100003365;001;64 (UN);DE06191081
100003365;001;83 (UN);DE06191081
100003365;001;393 (UN);DE06191081
100003365;001;272 (UN);DE06191081
100003365;001;561 (UN);DE06191081
100003365;001;382 (UN);DE06191081
100003365;001;533 (UN);DE06191081
100003365;001;571 (UN);DE06191082
100003365;001;567 (UN);DE06191082
100003365;001;775 (UN);DE06191082
100003365;001;65 (UN);DE06191082
100003365;001;634 (UN);DE06191082
100003365;001;584 (UN);DE06191082
100003365;001;600 (UN);DE06191082
100003365;001;551 (UN);DE06191082
100003365;001;111 (UN);DE06191082
100003365;001;111 (UN);DE06191082
100003365;001;647 (UN);DE06191083
100003365;001;665 (UN);DE06191083
100003365;001;587 (UN);DE06191083
100003365;001;53 (UN);DE06191083
100003365;001;364 (UN);DE06191083
100003365;001;522 (UN);DE06191083
100003365;001;464 (UN);DE06191083
100003365;001;494 (UN);DE06191083
100003365;001;78 (UN);DE06191083
100003365;001;453 (UN);DE06191083
100003365;001;277 (UN);DE06191083
100003365;001;542 (UN);DE06191092
100003365;001;755 (UN);DE06191092
100003365;001;104 (UN);DE06191092
100003365;001;520 (UN);DE06191092
100003365;001;695 (UN);DE06191092
100003365;001;557 (UN);DE06191092
100003365;001;526 (UN);DE06191092
100003365;001;19 (UN);DE06191092
100003365;001;39 (UN);DE06191092
100003365;001;533 (UN);DE06191093
100003365;001;545 (UN);DE06191093
100003365;001;481 (UN);DE06191093
100003365;001;53 (UN);DE06191093
100003365;001;396 (UN);DE06191093
100003365;001;308 (UN);DE06191093
100003365;001;97 (UN);DE06191105
100003365;001;418 (UN);DE06191105
100003365;001;3859 (UN);DE06191105
100003365;001;552 (UN);DE06191105
100003365;001;246 (UN);DE06191105
100003365;001;67 (UN);DE06191105
100003365;001;52 (UN);DE06191131
100003365;001;541 (UN);DE06191131
100003365;001;331 (UN);DE06191131
100003365;001;334 (UN);DE06191131
100003365;001;376 (UN);DE06191131
100003365;001;378 (UN);DE06191131
100003365;001;343 (UN);DE06191131
100003365;001;89 (UN);DE06191131
100003365;001;879 (UN);DE06191132
100003365;001;438 (UN);DE06191132
100003365;001;407 (UN);DE06191132
100003365;001;289 (UN);DE06191132
100003365;001;45 (UN);DE06191132
100003365;001;575 (UN);DE06191132
100003365;001;701 (UN);DE06191132
100003365;001;760 (UN);DE06191132
100003365;001;909 (UN);DE06191132
100003365;001;82 (UN);DE06191132
100003365;001;501 (UN);DE06191132
100003365;001;628 (UN);DE06191133
100003365;001;118 (UN);DE06191133
100003365;001;627 (UN);DE06191133
100003365;001;597 (UN);DE06191133
100003365;001;500 (UN);DE06191133
100003365;001;422 (UN);DE06191141
100003365;001;547 (UN);DE06191141
100003365;001;84 (UN);DE06191141
100003365;001;65 (UN);DE06191141
100003365;001;514 (UN);DE06191141
100003365;001;318 (UN);DE06191141
100003365;001;488 (UN);DE06191141
100003365;001;467 (UN);DE06191141
100003365;001;188 (UN);DE06191141
100003365;001;425 (UN);DE06191142
100003365;001;461 (UN);DE06191142
100003365;001;456 (UN);DE06191142
100003365;001;36 (UN);DE06191142
100003365;001;465 (UN);DE06191142
100003365;001;388 (UN);DE06191142
100003365;001;251 (UN);DE06191142
100003365;001;283 (UN);DE06191142
